veh_id,target_vel_x,target_vel_y,target_acc_x,target_acc_y,ref_heading,yaw_rate
1,-0.0061924,7.115,0.0019227,0.10544,-0.17343,0.06473
1,-0.005897,7.1245,0.0019876,0.11793,-0.16696,0.076928
1,-0.0056524,7.1342,0.0021573,0.12805,-0.15926,0.085674
1,-0.0054263,7.1468,0.0022778,0.13493,-0.1507,0.088813
1,-0.0052178,7.1625,0.0023351,0.13987,-0.14181,0.088746
1,-0.0050258,7.1785,0.0023493,0.14388,-0.13294,0.086805
1,-0.004849,7.1919,0.002359,0.14677,-0.12426,0.083546
1,-0.0046862,7.2011,0.0024194,0.14789,-0.1159,0.079316
1,-0.0045361,7.2074,0.0025211,0.14758,-0.10797,0.074927
1,-0.0043976,7.2132,0.0026635,0.14728,-0.10048,0.070766
1,-0.0042697,7.2205,0.0028387,0.14789,-0.093404,0.15085
1,-0.0040061,7.2448,0.0030316,0.15151,-0.078319,0.14195
1,-0.0036037,7.2687,0.0032766,0.15373,-0.064124,0.13415
1,-0.0032313,7.2904,0.0035464,0.1515,-0.050709,0.12706
1,-0.0029232,7.3109,0.0038379,0.14455,-0.038003,0.12066
1,-0.0026684,7.3309,0.0041482,0.13513,-0.025937,0.11493
1,-0.0024181,7.3499,0.0044815,0.12597,-0.014444,0.10969
1,-0.0020794,7.3664,0.0048279,0.11839,-0.0034747,0.10508
1,-0.0016544,7.3807,0.0051792,0.11156,0.0070328,0.10082
1,-0.0011317,7.3949,0.0055351,0.10354,0.017115,0.096962
1,-0.00051506,7.4108,0.0059017,0.092807,0.026812,0.094145
1,0.00016619,7.4276,0.0062117,0.071065,0.036226,0.082422
1,0.00090087,7.4416,0.0064418,0.046529,0.044468,0.071272
1,0.0016666,7.4498,0.0066782,0.019954,0.051595,0.062941
1,0.002458,7.4516,0.0069527,-0.0084146,0.057889,0.056887
1,0.0032707,7.4488,0.0072523,-0.037813,0.063578,0.052256
1,0.004114,7.4438,0.007533,-0.067483,0.068804,0.048539
1,0.0049697,7.4379,0.0077191,-0.097234,0.073658,0.045522
1,0.0058223,7.4305,0.0077875,-0.12767,0.07821,0.042436
1,0.0066725,7.4203,0.0077257,-0.15971,0.082453,0.038866
1,0.0075337,7.4061,0.0075495,-0.19327,0.08634,0.034791
1,0.0084173,7.3869,0.0072984,-0.22689,0.089819,0.030459
1,0.0092799,7.3618,0.006992,-0.25802,0.092865,0.026011
1,0.010125,7.3303,0.0066398,-0.28409,0.095466,0.021486
1,0.010982,7.294,0.0062563,-0.30435,0.097615,0.016813
1,0.011836,7.2552,0.0058535,-0.32017,0.099296,0.011952
1,0.012648,7.2149,0.005415,-0.33367,0.10049,0.0069366
1,0.013359,7.172,0.0049535,-0.34642,0.10118,0.0019064
1,0.013921,7.1253,0.0044796,-0.35884,0.10138,-0.0029807
1,0.01432,7.0754,0.0039954,-0.37067,0.10108,-0.0078656
1,0.014584,7.0243,0.0035027,-0.38125,0.10029,-0.013132
1,0.014763,6.9738,0.0029832,-0.38889,0.098978,-0.019014
1,0.014885,6.9256,0.002468,-0.39135,0.097076,-0.025244
1,0.014946,6.8817,0.0019561,-0.38729,0.094552,-0.030812
1,0.014971,6.8429,0.0014077,-0.3777,0.091471,-0.039785
1,0.014978,6.8084,0.00084863,-0.36483,0.087492,-0.057835
1,0.014944,6.7765,0.00030061,-0.34955,0.081709,-0.090224
1,0.014877,6.7451,-0.00021198,-0.33135,0.072686,-0.13486
1,0.014782,6.7129,-0.00064919,-0.31032,0.0592,-0.18174
1,0.014663,6.679,-0.0010043,-0.28806,0.041026,-0.22211
2,0.013208,5.7113,-0.00013616,0.16683,0.05514,-0.019256
2,0.01327,5.7367,-0.00010643,0.18721,0.053215,-0.022108
2,0.013319,5.7596,-9.54E-05,0.19816,0.051004,-0.024109
2,0.013338,5.7801,-9.65E-05,0.20297,0.048593,-0.025233
2,0.013319,5.7985,-0.00011488,0.20408,0.04607,-0.02552
2,0.013275,5.8151,-0.00015308,0.20293,0.043518,-0.024813
2,0.013231,5.8301,-0.0002202,0.20024,0.041036,-0.024087
2,0.013189,5.8438,-0.00029793,0.19643,0.038628,-0.023775
2,0.013148,5.8563,-0.00038148,0.19189,0.03625,-0.023363
2,0.013109,5.8677,-0.00048142,0.18683,0.033914,-0.023036
2,0.013072,5.8781,-0.00058458,0.18102,0.03161,-0.046255
2,0.013091,5.9172,-0.00076023,0.1699,0.026985,-0.045189
2,0.013094,5.9491,-0.0009374,0.15764,0.022466,-0.044288
2,0.013083,5.9752,-0.0010997,0.14466,0.018037,-0.043386
2,0.013047,5.997,-0.0012361,0.13202,0.013698,-0.042237
2,0.012979,6.0157,-0.0013478,0.12072,0.0094747,-0.040986
2,0.012856,6.0317,-0.0014631,0.11101,0.0053761,-0.039851
2,0.012702,6.0453,-0.0015816,0.10218,0.001391,-0.038746
2,0.012522,6.0567,-0.0017031,0.093071,-0.0024835,-0.037772
2,0.012294,6.0663,-0.0018208,0.082937,-0.0062607,-0.036987
2,0.012039,6.0734,-0.0019422,0.072118,-0.0099595,-0.036384
2,0.01175,6.0765,-0.0021003,0.046875,-0.013598,-0.033662
2,0.011444,6.0749,-0.0022508,0.025669,-0.016964,-0.031071
2,0.011139,6.0694,-0.0024017,0.0071979,-0.020071,-0.028714
2,0.010847,6.0625,-0.0025396,-0.010307,-0.022943,-0.026555
2,0.010579,6.0565,-0.0026472,-0.027414,-0.025598,-0.024764
2,0.010305,6.0521,-0.0027098,-0.043297,-0.028075,-0.022752
2,0.010026,6.0481,-0.0027419,-0.057048,-0.03035,-0.020334
2,0.0097417,6.0424,-0.0027421,-0.068767,-0.032383,-0.017933
2,0.0094673,6.0335,-0.0026897,-0.078981,-0.034176,-0.015156
2,0.0091877,6.0224,-0.002587,-0.087161,-0.035692,-0.012088
2,0.0088906,6.011,-0.0024166,-0.091612,-0.036901,-0.0087077
2,0.0085922,6.0004,-0.0022032,-0.091135,-0.037772,-0.0051839
2,0.0082795,5.9896,-0.0019608,-0.086581,-0.03829,-0.0015965
2,0.0079681,5.9764,-0.0016945,-0.080411,-0.03845,0.0020479
2,0.0076842,5.9609,-0.0014216,-0.074992,-0.038245,0.0057419
2,0.0074362,5.9451,-0.00113,-0.071101,-0.037671,0.0094925
2,0.0072179,5.9312,-0.00081634,-0.067539,-0.036721,0.013245
